date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2023-12-31,AAL,USD,0000006201,2024-02-21,2024-02-21 07:59:46,2023,FY,1488000000.0,7000000000.0,8488000000.0,2026000000.0,2400000000.0,658000000.0,13572000000.0,38703000000.0,4091000000.0,2051000000.0,6142000000.0,163000000.0,2888000000.0,1590000000.0,49486000000.0,0.0,63058000000.0,2353000000.0,4941000000.0,0.0,9653000000.0,5115000000.0,22062000000.0,29270000000.0,5874000000.0,578000000.0,10476000000.0,46198000000.0,0.0,6452000000.0,68260000000.0,0.0,7000000.0,-7689000000.0,-4894000000.0,7374000000.0,-5202000000.0,-5202000000.0,63058000000.0,0.0,63058000000.0,7000000000.0,40663000000.0,39175000000.0,https://www.sec.gov/Archives/edgar/data/6201/000000620124000010/0000006201-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/4515/000000620124000010/aal-20231231.htm
2022-12-31,AAL,USD,0000006201,2023-02-22,2023-02-22 08:01:45,2022,FY,440000000.0,8525000000.0,8965000000.0,2138000000.0,2279000000.0,892000000.0,15269000000.0,38294000000.0,4091000000.0,2059000000.0,6150000000.0,-7079000000.0,3099000000.0,8983000000.0,49447000000.0,0.0,64716000000.0,2149000000.0,4739000000.0,569000000.0,9914000000.0,4694000000.0,21496000000.0,38948000000.0,5976000000.0,5178000000.0,-1083000000.0,49019000000.0,0.0,8024000000.0,70515000000.0,0.0,6000000.0,-8511000000.0,-4585000000.0,7291000000.0,-5799000000.0,864000000.0,64716000000.0,6663000000.0,64716000000.0,1446000000.0,43687000000.0,43247000000.0,https://www.sec.gov/Archives/edgar/data/6201/000000620123000018/0000006201-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4515/000000620123000018/aal-20221231.htm
2021-12-31,AAL,USD,0000006201,2022-02-22,2022-02-22 08:03:11,2021,FY,273000000.0,12158000000.0,12431000000.0,1505000000.0,1795000000.0,1605000000.0,17336000000.0,37362000000.0,4091000000.0,1988000000.0,6079000000.0,239000000.0,3556000000.0,1870000000.0,49106000000.0,0.0,66442000000.0,1772000000.0,3995000000.0,0.0,8983000000.0,4255000000.0,19005000000.0,42157000000.0,6239000000.0,5053000000.0,1328000000.0,54777000000.0,0.0,8092000000.0,73782000000.0,0.0,6000000.0,-8638000000.0,-5942000000.0,7234000000.0,-7340000000.0,-7340000000.0,66442000000.0,0.0,66442000000.0,12158000000.0,46152000000.0,45879000000.0,https://www.sec.gov/Archives/edgar/data/6201/000000620122000026/0000006201-22-000026-index.htm,https://www.sec.gov/Archives/edgar/data/4515/000000620122000026/aal-20211231.htm
2020-12-31,AAL,USD,0000006201,2021-02-17,2021-02-17 17:17:57,2020,FY,245000000.0,6619000000.0,6864000000.0,1342000000.0,1614000000.0,1275000000.0,11095000000.0,39738000000.0,4091000000.0,2029000000.0,6120000000.0,161000000.0,3239000000.0,1655000000.0,50913000000.0,0.0,62008000000.0,1196000000.0,4448000000.0,0.0,6790000000.0,4135000000.0,16569000000.0,36573000000.0,7162000000.0,7069000000.0,1502000000.0,52306000000.0,0.0,8428000000.0,68875000000.0,0.0,6000000.0,-6664000000.0,-7103000000.0,6894000000.0,-6867000000.0,-6867000000.0,62008000000.0,0.0,62008000000.0,6619000000.0,41021000000.0,40776000000.0,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/0000006201-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/4515/000000620121000014/aal-20201231.htm
2019-12-31,AAL,USD,0000006201,2020-02-19,2020-02-19 07:31:30,2019,FY,280000000.0,3546000000.0,3826000000.0,1750000000.0,1851000000.0,779000000.0,8206000000.0,43732000000.0,4091000000.0,2084000000.0,6175000000.0,204000000.0,645000000.0,1033000000.0,51789000000.0,0.0,59995000000.0,2062000000.0,4569000000.0,0.0,8001000000.0,3679000000.0,18311000000.0,28875000000.0,5422000000.0,6052000000.0,1453000000.0,41802000000.0,0.0,9129000000.0,60113000000.0,0.0,4000000.0,2264000000.0,-6331000000.0,3945000000.0,-118000000.0,-118000000.0,59995000000.0,0.0,59995000000.0,3546000000.0,33444000000.0,33164000000.0,https://www.sec.gov/Archives/edgar/data/6201/000000620120000023/0000006201-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/4515/000000620120000023/a10k123119.htm
2019-12-31,AAXN,USD,0000000000,2020-02-28,2020-02-27 18:32:54,2019,FY,172250000.0,178534000.0,350784000.0,194596000.0,38845000.0,34866000.0,619091000.0,53423000.0,25013000.0,12771000.0,37784000.0,0.0,27688000.0,107653000.0,226548000.0,0.0,845639000.0,25874000.0,0.0,0.0,120838000.0,48854000.0,195566000.0,0.0,87936000.0,354000.0,18288000.0,106578000.0,0.0,0.0,302144000.0,0.0,1000.0,172265000.0,-41832000.0,413061000.0,543495000.0,543495000.0,845639000.0,0.0,845639000.0,178534000.0,0.0,-172250000.0,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/0001069183-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/a10kaaxn123119.htm
2018-12-31,AAXN,USD,0000000000,2019-02-27,2019-02-27 17:28:57,2018,FY,349462000.0,0.0,349462000.0,144539000.0,33763000.0,30391000.0,558155000.0,37893000.0,24981000.0,15935000.0,40916000.0,0.0,19347000.0,63229000.0,161385000.0,0.0,719540000.0,15164000.0,0.0,0.0,109718000.0,41129000.0,166011000.0,0.0,74417000.0,0.0,11788000.0,86205000.0,0.0,0.0,252216000.0,0.0,1000.0,171383000.0,-39885000.0,335825000.0,467324000.0,467324000.0,719540000.0,0.0,719540000.0,0.0,0.0,-349462000.0,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000023/0001069183-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000023/a10kaaxn123118.htm
2017-12-31,AAXN,USD,0000000000,2018-03-01,2018-03-01 15:49:38,2017,FY,75105000.0,6862000.0,81967000.0,56064000.0,45465000.0,21696000.0,205192000.0,31172000.0,14927000.0,18823000.0,33750000.0,0.0,15755000.0,52243000.0,132920000.0,0.0,338112000.0,8592000.0,0.0,0.0,74074000.0,25284000.0,107950000.0,0.0,54881000.0,0.0,7837000.0,62718000.0,0.0,0.0,170668000.0,0.0,1000.0,123185000.0,-36477000.0,80735000.0,167444000.0,167444000.0,338112000.0,0.0,338112000.0,6862000.0,0.0,-75105000.0,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000020/0001069183-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000020/a10kaaxn123117.htm
2016-12-31,AAXN,USD,0000000000,2017-03-06,2017-03-06 17:27:32,2016,FY,40651000.0,48415000.0,89066000.0,39466000.0,34841000.0,13858000.0,177231000.0,24004000.0,10442000.0,15218000.0,25660000.0,0.0,19515000.0,31753000.0,100932000.0,0.0,278163000.0,10736000.0,0.0,0.0,47285000.0,20018000.0,78039000.0,0.0,40054000.0,0.0,9182000.0,49236000.0,0.0,0.0,127275000.0,0.0,1000.0,118275000.0,-37799000.0,70411000.0,150888000.0,150888000.0,278163000.0,0.0,278163000.0,48415000.0,0.0,-40651000.0,https://www.sec.gov/Archives/edgar/data/1069183/000106918317000042/0001069183-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918317000042/a10ktasr123116.htm
2015-12-31,AAXN,USD,0000000000,2016-03-07,2016-03-04 19:16:42,2015,FY,59526000.0,50254000.0,109780000.0,27701000.0,15763000.0,8165000.0,161409000.0,21848000.0,9596000.0,7588000.0,17184000.0,0.0,13719000.0,15721000.0,68472000.0,0.0,229881000.0,7333000.0,87000.0,0.0,22077000.0,8643000.0,38140000.0,81000.0,30190000.0,1315000.0,3151000.0,34737000.0,0.0,0.0,72877000.0,0.0,1000.0,100978000.0,-36020000.0,92045000.0,157004000.0,157004000.0,229881000.0,0.0,229881000.0,50254000.0,168000.0,-59358000.0,https://www.sec.gov/Archives/edgar/data/1069183/000106918316000148/0001069183-16-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918316000148/a10ktasr123115.htm
