date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
,AACG,CNY,0001420529,2024-04-10,2024-04-10 06:02:57,2024,FY,221618968.0,106961759.0,114657209.0,0.5173618939,4629880.0,72816606.0,78737492.0,151554098.0,0.0,156153113.0,263114872.0,0.0,0.0,21984382.0,-19506646.0,-0.0880188468,-41495904.0,-0.1872398576,-4876.0,-40522250.0,-0.1828464881,-6811709.0,-33660245.0,-0.1518834119,-1.07,-1.07,31394906.0,31394906.0,https://www.sec.gov/Archives/edgar/data/1420529/000110465924045459/0001104659-24-045459-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000110465924045459/aacg-20231231x20f.htm
,AACG,CNY,0001420529,2023-04-12,2023-04-12 06:10:25,2023,FY,206820874.0,104315856.0,102505018.0,0.4956222069,6790791.0,77051580.0,75265726.0,152317306.0,-16515.0,159091582.0,263407438.0,0.0,-2772271.0,-1314063.0,-57900627.0,-0.2799554314,-56586564.0,-0.2736018029,2070949.0,-54515615.0,-0.2635885534,-5921384.0,-48594231.0,-0.2349580584,-1.55,-1.54,31376920.0,31508493.0,https://www.sec.gov/Archives/edgar/data/1420529/000119312523098383/0001193125-23-098383-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000119312523098383/d378648d20f.htm
,AACG,CNY,0001420529,2022-04-26,2022-04-26 08:55:43,2022,FY,202209465.0,97413915.0,104795550.0,0.5182524468,11801545.0,93256046.0,66149460.0,159405506.0,-22018.0,171185033.0,268598948.0,0.0,1110681000.0,-27329108.0,-93718591.0,-0.4634728201,-66389483.0,-0.3283203534,28439789.0,-37949694.0,-0.1876751615,-1539577.0,-36410117.0,-0.1800613883,-1.16,-1.16,31374047.0,31374048.0,https://www.sec.gov/Archives/edgar/data/1420529/000156459022015529/0001564590-22-015529-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459022015529/aacg-20f_20211231.htm
,AACG,CNY,0001420529,2021-04-13,2021-04-13 06:13:21,2021,FY,162167547.0,98521027.0,63646520.0,0.3924738407,8832488.0,100097849.0,53500051.0,153597900.0,5574081.0,168004469.0,266525496.0,0.0,3281701000.0,7667472.0,-96690477.0,-0.5962381425,-104357949.0,-0.6435193165,-6495635.0,-110853584.0,-0.6835744022,-10268836.0,-100584748.0,-0.6202520163,-3.21,-3.21,31330018.0,31330018.0,https://www.sec.gov/Archives/edgar/data/1420529/000156459021018581/0001564590-21-018581-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459021018581/aacg-20f_20201231.htm
,AACG,CNY,0001420529,2020-04-28,2020-04-28 16:10:47,2020,FY,97770167.0,61914502.0,35855665.0,0.3667342104,11817255.0,81923516.0,34112212.0,116035728.0,16842678.0,144695661.0,206610163.0,0.0,3281701000.0,35703320.0,-73136676.0,-0.7480469579,-108839996.0,-1.1132229732,-32421619.0,-141261615.0,-1.4448335247,-7248434.0,-134013181.0,-1.3706960427,-5.27,-5.26,25411584.0,25457855.0,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/0001564590-20-019206-index.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/aacg-20f_20191231.htm
,AACI,USD,0001844817,2023-12-04,2023-12-04 16:58:12,2023,FY,0.0,2570872.0,-2570872.0,0.0,0.0,218254.0,0.0,218254.0,0.0,2789126.0,2789126.0,3084260.0,0.0,2789.126,-2789126.0,0.0,-2789126.0,0.0,3084260.0,295134.0,0.0,615284.0,-320150.0,0.0,-0.0247,-0.0247,12968000.0,12968512.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/0001193125-23-288466-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/d554439d10k.htm
,AACI,USD,0001844817,2022-12-22,2022-12-21 21:16:25,2022,FY,0.0,4391263.0,-4391263.0,0.0,0.0,111852.0,0.0,111852.0,4391263.0,4503115.0,4503115.0,1025942.0,-1025942.0,4503.115,-4503115.0,0.0,-4503115.0,0.0,1025942.0,-3477173.0,0.0,145621.0,-3622794.0,0.0,-0.17,-0.17,20709000.0,20709500.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/0001193125-22-310302-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/d508831d10k.htm
,AACI,USD,0001844817,2021-12-29,2021-12-29 17:23:59,2021,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469951.0,-469951.0,469951.0,469951.0,1052.0,0.0,512674.0,-469950.0,0.0,-469950.0,0.0,1051.0,-468899.0,0.0,1052.0,-468899.0,0.0,-0.0782,-0.0782,5993985.0,5993985.0,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000378/0000950159-21-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000378/aaciu_10k.htm
,AACIU,USD,0001844817,2023-12-04,2023-12-04 16:58:12,2023,FY,0.0,2570872.0,-2570872.0,0.0,0.0,218254.0,0.0,218254.0,0.0,2789126.0,2789126.0,3084260.0,0.0,2789.126,-2789126.0,0.0,-2789126.0,0.0,3084260.0,295134.0,0.0,615284.0,-320150.0,0.0,-0.0247,-0.0247,12968000.0,12968512.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/0001193125-23-288466-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312523288466/d554439d10k.htm
,AACIU,USD,0001844817,2022-12-22,2022-12-21 21:16:25,2022,FY,0.0,4391263.0,-4391263.0,0.0,0.0,111852.0,0.0,111852.0,4391263.0,4503115.0,4503115.0,1025942.0,-1025942.0,4503.115,-4503115.0,0.0,-4503115.0,0.0,1025942.0,-3477173.0,0.0,145621.0,-3622794.0,0.0,-0.17,-0.17,20709000.0,20709500.0,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/0001193125-22-310302-index.htm,https://www.sec.gov/Archives/edgar/data/1844817/000119312522310302/d508831d10k.htm
